id,registry,scope,name,total_downloads,weekly_downloads,monthly_downloads,status
dockerhub_ros2_desktop_vnc,dockerhub,repository,tiryoh/ros2-desktop-vnc,123734,,,ok
ghcr_ros2_desktop_vnc_package,ghcr,package,ghcr.io/tiryoh/ros2-desktop-vnc,10271,,,ok
